longitude,latitude,from,to,label     
-52.468316999999900,-26.907385000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.447780999999900,-26.912869000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.439518999999900,-26.898920000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.444332000000000,-26.896273000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.432004999999900,-26.892219000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.436577999999900,-26.888511000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.407471999999900,-26.877147000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.394156000000000,-26.870349000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.388326999999900,-26.872830000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.420788000000000,-26.862549000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.405386999999900,-26.854057000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.395252999999900,-26.855129999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.382578000000000,-26.859400000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.302334999999900,-26.870014999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.302762999999900,-26.857707000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.310195999999900,-26.864433999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.353754000000000,-26.877742999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.374074999999900,-26.879221999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.485683999999900,-26.831702000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.485683999999900,-26.829125000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.448517000000000,-26.848403000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.413916000000000,-26.842248000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.414906000000000,-26.839027000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.403863000000000,-26.832035999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.362845000000000,-26.841723000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.365732999999900,-26.838978999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.355037000000000,-26.845803000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.392204000000000,-26.909244999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.396563000000000,-26.913179000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.371949999999900,-26.908911000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.378794999999900,-26.902353999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.334007000000000,-26.877075000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.329729000000000,-26.877528000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.310904999999900,-26.913488999999900,2012-01-01,2013-01-01,Area_Antropizada
-52.327388999999900,-26.857426000000000,2012-01-01,2013-01-01,Area_Antropizada
-52.317816999999900,-26.853871999999900,2012-01-01,2013-01-01,Area_Antropizada
